X,Y,OBJECTID,Bridge_Department_Number,Bridge_Name,Bridge_Identification_Number__B,Highway_Agency_District,Town,Latitude,Longitude,Feature_Intersected,Facility_Carried,Structure_Material,Structure_Type,Year_Built,Year_Reconstructed,Type_of_Service,Structure_Length,Bridge_Owner,Structurally_Deficient,BridgeInspectionDate,Posted,Structure_Category,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-73.206132272113322,42.452856619030861,11,P10073,,ABT,01,Pittsfield,42.452848,-73.20613097,WATER E BR HOUSATONIC R,HWY   EAST ST,Prestressed concrete,Box Beam or Girders - Single or Spread,1998,0,Highway-pedestrian,42,MUN,NO,2015-12-18 00:00:00,Open,Bridge (NBI),{95634F69-47ED-457A-A4DB-696009BA4F1E},,,,
-73.226667972156235,42.453619729742201,12,P10072,,ABU,01,Pittsfield,42.45361111,-73.22666667,RR    CSX         148.88,HWY   MERRILL RD,Steel,Stringer/Multi-beam or Girder,2001,0,Highway-pedestrian,47,DOT,NO,2016-09-29 00:00:00,Open,Bridge (NBI),{49C119E3-F39E-4E07-965B-7B12DBD6DAF0},,,,
-73.223533321084304,42.708060665383393,13,W37031,,ACC,01,Williamstown,42.708052,-73.223532,WATER FLORA GLEN BROOK,HWY   BEE HILL RD,Wood or Timber,Truss - Thru,1997,0,Highway,16.2,MUN,NO,2015-12-15 00:00:00,Open,Bridge (NBI),{19E88B9B-0F84-4050-88EF-E7AAEFAC66CB},,,,
-72.744186158218923,42.617066665744908,14,B28003,,ACF,01,Buckland,42.617058,-72.744185,COMB  ST 2 & PAN AM RR,ST112,Steel continuous,Box Beam or Girders - Single or Spread,1997,0,Highway,48.7,DOT,NO,2015-08-06 00:00:00,Open,Bridge (NBI),{D8476510-84F5-4150-8E6F-BBCD5F56668E},,,,
-73.24957429438345,42.577165612236428,15,L03007,,09Y,01,Lanesborough,42.57715697,-73.24957297,WATER TOWN BROOK,US  7 WILLMSTWN RD,Prestressed concrete,Slab,1961,0,Highway,12,DOT,NO,2015-12-17 00:00:00,Open,Bridge (NBI),{B425DE7B-F20D-4285-B0CE-A8992F9FAACF},,,,
-73.25024429359722,42.587004614271905,16,L03015,,0A0,01,Lanesborough,42.58699597,-73.25024297,WATER BRODIE MTN BROOK,US  7 WILLMSTWN RD,Prestressed concrete,Slab,1961,0,Highway,8.5,DOT,NO,2015-12-17 00:00:00,Open,Bridge (NBI),{7C256EC6-46ED-4E6D-9EAA-EB0B3715C8FD},,,,
-73.232091290448253,42.611834646930546,17,N05009,,0A1,01,New Ashford,42.611826,-73.23208997,WATER GREEN RIVER,US  7 NEW ASHFORD,Steel,Stringer/Multi-beam or Girder,1945,0,Highway,14,DOT,NO,2015-11-05 00:00:00,Open,Bridge (NBI),{A45F4FDF-3F34-401B-BAD4-A3AC76D39BA1},,,,
-73.231246318614808,42.615094619954519,18,N05002,,0A2,01,New Ashford,42.61508597,-73.231245,WATER GREEN RIVER,US  7 NEW ASHFORD,Steel,Stringer/Multi-beam or Girder,1954,0,Highway,16,DOT,NO,2015-11-05 00:00:00,Open,Bridge (NBI),{2608F036-A033-4BCD-8E9A-A8C628379FC7},,,,
-73.23060831819005,42.625313622376652,19,N05006,,0A3,01,New Ashford,42.62530497,-73.230607,WATER THOMPSON BROOK,US  7 NEW ASHFORD,Concrete,Slab,1955,0,Highway,7.3,DOT,NO,2015-11-05 00:00:00,Open,Bridge (NBI),{68456BE4-8106-430A-85E6-B0357742C618},,,,
-71.795207835450483,42.408985658525779,20,S25023,,1W9,03,Sterling,42.408977,-71.795207,HWY   DANA HILL RD,I 190 SB,Prestressed concrete,Stringer/Multi-beam or Girder,1979,0,Highway,28,DOT,NO,2016-01-20 00:00:00,Open,Bridge (NBI),{9B207E17-7749-4D90-A846-D12EB55E85DE},,,,
-71.794512807753193,42.412530659808169,21,S25024,,1WA,03,Sterling,42.412522,-71.79451197,HWY   JOHN DEE RD,I 190 NB,Prestressed concrete,Stringer/Multi-beam or Girder,1979,0,Highway,28.7,DOT,NO,2015-11-16 00:00:00,Open,Bridge (NBI),{02D660BB-F423-4F30-9752-331E8D4ADB57},,,,
-71.795041808000974,42.412823659997642,22,S25024,,1WB,03,Sterling,42.412815,-71.79504097,HWY   JOHN DEE RD,I 190 SB,Prestressed concrete,Stringer/Multi-beam or Girder,1979,0,Highway,28.3,DOT,NO,2015-11-16 00:00:00,Open,Bridge (NBI),{9DD9DDEA-C543-48CA-A4DF-531CA4CFD004},,,,
-71.793358668405418,42.416653660148903,23,S25025,,1WC,03,Sterling,42.416645,-71.79335783,WATER STILLWATER RIVER,I 190 SB,Steel continuous,Stringer/Multi-beam or Girder,1979,0,Highway,100.9,DOT,NO,2016-08-08 00:00:00,Open,Bridge (NBI),{56549810-169D-4895-B307-33847D1B0C01},,,,
-71.79278466780363,42.416489493398053,24,S25025,,1WD,03,Sterling,42.41648083,-71.79278383,WATER STILLWATER RIVER,I 190 NB,Steel continuous,Stringer/Multi-beam or Girder,1979,0,Highway,101.8,DOT,NO,2016-08-08 00:00:00,Open,Bridge (NBI),{DFFE8F55-C8C3-4007-8BD6-868B32A4C499},,,,
-72.935252196595926,42.656921666330199,25,C05003,,0EK,01,Charlemont,42.656913,-72.93525097,WATER PELHAM BROOK,HWY   ROWE RD,Prestressed concrete,Box Beam or Girders - Multiple,1939,1992,Highway,17,MUN,NO,2016-10-03 00:00:00,Open,Bridge (NBI),{5A78A6A6-A31A-4392-873E-CE6B02A59F13},,,,
-72.868908173518221,42.631708663626839,26,C05005,BISSELL BRIDGE,0EL,01,Charlemont,42.6317,-72.86890697,WATER MILL BROOK,ST  8 A/N HEATH RD,Wood or Timber,Truss - Thru,1950,2009,Highway,28.7,MUN,NO,2015-07-23 00:00:00,Open,Bridge (NBI),{52845693-1F4D-472E-82F1-1E8A5DC4DA38},,,,
-72.936620196505473,42.655853637966338,27,C05002,BRIDGE NO. 7,0EM,01,Charlemont,42.65584497,-72.93661897,WATER PELHAM BROOK,HWY   ZOAR RD,Steel,Stringer/Multi-beam or Girder,1938,0,Highway,15.5,MUN,NO,2016-10-03 00:00:00,Open,Bridge (NBI),{08FBF59C-D8B2-49B2-BFC4-AB21930B64C0},,,,
-71.62491660514722,42.274324472087102,28,W24007,,22V,03,Westborough,42.27431583,-71.62491583,RR    MBTA/CSX,ST135 MILK ST,Steel,Stringer/Multi-beam or Girder,1900,1963,Highway-pedestrian,39.6,DOT,NO,2015-06-09 00:00:00,Open,Bridge (NBI),{93D61BCC-01B0-4391-886E-3DDDCA434901},,,,
-71.55266574725934,42.267675639222624,29,H23006,,22W,03,Hopkinton,42.267667,-71.552665,COMB  MBTA/CSX & SUDBURY,HWY   FRUIT ST,Steel,Stringer/Multi-beam or Girder,1936,1976,Highway-pedestrian,56.7,DOT,YES,2016-08-13 00:00:00,Posted For Load,Bridge (NBI),{D19D307B-5975-431F-B491-FECE388976DA},,,,
-72.706278916164294,42.506675312461823,30,C20010,,0K8,01,Conway,42.50666667,-72.70627778,WATER SOUTH RIVER,ST116 S DEERFLD RD,Steel,Stringer/Multi-beam or Girder,1978,0,Highway-pedestrian,16.2,DOT,NO,2016-07-15 00:00:00,Open,Bridge (NBI),{FC686EF9-98C2-4517-806E-EDB1C3284C74},,,,
-72.720256117121295,42.514379620186908,31,C20008,,0K9,01,Conway,42.51437097,-72.72025497,WATER SOUTH RIVER,ST116 ASHFIELD RD,Concrete,Tee Beam,1926,0,Highway,15.5,DOT,NO,2017-03-13 00:00:00,Open,Bridge (NBI),{88B3F574-CD77-4029-8079-F4B7683485DE},,,,
-72.731913120965544,42.51751961936062,32,C20006,,0KA,01,Conway,42.51751097,-72.73191197,WATER SOUTH RIVER,ST116 ASHFIELD RD,Steel,Stringer/Multi-beam or Girder,1926,1938,Highway,16.4,DOT,NO,2016-07-14 00:00:00,Open,Bridge (NBI),{1A27D9DC-90D2-4F49-B619-73FE79FE9D4F},,,,
-72.80399214657902,42.559587625153512,33,A13001,,0KB,01,Ashfield,42.55957897,-72.80399097,WATER CLESSON BROOK,ST112 SUBURBAN DR,Concrete,Tee Beam,1900,1952,Highway,13.1,DOT,NO,2016-09-13 00:00:00,Open,Bridge (NBI),{48BF6AB4-0C73-4347-B010-9E568F3F2B2F},,,,
-72.801830146175433,42.567729627212231,34,B28001,,0KC,01,Buckland,42.56772097,-72.80182897,WATER CLESSON BROOK,ST112 ASHFIELD RD,Steel,Stringer/Multi-beam or Girder,1955,0,Highway,22,DOT,NO,2017-03-02 00:00:00,Open,Bridge (NBI),{44FEBBB0-AE0A-4C4F-BEE4-42733459D928},,,,
-71.42598269910367,42.15210362255241,35,M13008,,2A5,03,Medway,42.152095,-71.425982,WATER CHICKEN BROOK,HWY   WINTHROP ST,Prestressed concrete,Slab,1957,0,Highway-pedestrian,7.3,MUN,NO,2016-04-12 00:00:00,Open,Bridge (NBI),{C8C29B5D-22DC-4F9A-92E4-579132708D94},,,,
-71.453410706190041,42.11955661490007,36,B06002,,2A7,03,Bellingham,42.119548,-71.45341,WATER CHARLES RIVER,HWY   MAPLE ST,Prestressed concrete,Slab,1956,0,Highway-pedestrian,12.2,MUN,NO,2016-04-05 00:00:00,Open,Bridge (NBI),{4AF488D3-FFC4-4F75-AEF2-3303CD64F26F},,,,
-71.447738704567541,42.122877616264141,37,B06023,,2A8,03,Bellingham,42.122869,-71.447738,WATER CHARLES RIVER,HWY   PLYMOUTH RD,Prestressed concrete,Slab,1956,0,Highway-pedestrian,12.5,MUN,NO,2016-08-10 00:00:00,Open,Bridge (NBI),{08C18F51-0573-4C62-A879-EA6E76EB6AE9},,,,
-71.871325822011002,42.243022624721561,38,L06010,,6QW,03,Leicester,42.243014,-71.87132497,WATER LYNDE BROOK,ST  9 @ STA 23,Concrete,Tee Beam,1907,1940,Highway-pedestrian,3.8,DOT,NO,2016-07-27 00:00:00,Open,Short Span Bridge,{08FF2695-03C4-4C82-AE10-FA4CCF1FE788},,,,
-71.884010854855887,42.239566957545584,39,L06014,,6QX,03,Leicester,42.23955833,-71.88401,WATER KETTLE BROOK,ST  9 MAIN ST,Concrete,Slab,1850,1949,Highway-pedestrian,5.8,DOT,YES,2015-07-03 00:00:00,Open,Short Span Bridge,{E06A4555-5E71-468F-92AB-288F0EAD90EA},,,,
-71.925505865603526,42.207128616143983,40,L06006,,6QY,03,Leicester,42.20712,-71.925505,WATER GREENVL POND OTL,HWY   RIVER ST,Steel,Stringer/Multi-beam or Girder,1850,1940,Highway,4.3,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{ABAA36C6-72FF-46A5-9CFE-BA6CE7B5B599},,,,
-71.92910086595802,42.208169588166996,41,L06007,,6R0,03,Leicester,42.20816097,-71.9291,WATER BARTONS BROOK,HWY   BALDWIN ST,Steel,Culvert (includes frame culverts),1972,0,Highway,2.7,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Culvert,{0FDC9918-A9E1-4BAB-8A2F-111971E3545F},,,,
-71.923048837048924,42.212269589291132,42,L06008,,6R1,03,Leicester,42.21226097,-71.92304797,WATER TOWN MEADOW BROOK,HWY   GREEN ST,Steel,Arch - Deck,1974,0,Highway,5.5,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{DF7DF63B-51BD-4944-92B0-86C608551258},,,,
-71.874146823201798,42.242236597120844,43,L06011,,6R2,03,Leicester,42.24222797,-71.87414597,WATER KETTLE BROOK,HWY   CHURCH ST,Masonry,Slab,1850,0,Highway,5.5,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{B2276FDB-9979-4212-B43C-07668CE6336A},,,,
-71.582508760567734,42.313132647152237,44,M06020,084 FOREBAY WACHUSETT,9WM,03,Marlborough,42.313124,-71.582508,WATER WACH AQUEDUCT,HWY   FOREBAY,Masonry,Arch - Deck,1906,0,Highway,5.2,DOT,NO,2014-04-10 00:00:00,Open,Short Span Bridge,{F45786D9-B88C-48CA-B994-5F60DD9CD63E},,,,
-71.136440590839044,42.401152678712442,45,A10006,008 O'DONNELL BRIDGE,9WN,04,Arlington,42.401144,-71.13643997,WATER ALEWIFE BROOK,US  3 MASS AVE,Masonry,Arch - Deck,1908,0,Highway-pedestrian,5.2,DOT,NO,2009-01-13 00:00:00,Open,Short Span Bridge,{E6C6DFD6-D523-4829-9940-2AC6EBA5C47C},,,,
-71.134538618130364,42.404401651296155,46,A10013,035 HENDERSON ST,9WP,04,Arlington,42.40439297,-71.134538,WATER ALEWIFE BROOK,HWY   HENDERSON ST,Concrete,Arch - Deck,1913,0,Highway-pedestrian,9.1,DOT,NO,2015-11-03 00:00:00,Open,Bridge (NBI),{103CA369-96F2-4B6B-AFFC-23CFF86692DF},,,,
-71.133868617991084,42.407060680249636,47,A10007,091 BROADWAY/ALEWIFE BRK,9WQ,04,Arlington,42.407052,-71.133868,WATER ALEWIFE BROOK,HWY   BROADWAY,Masonry,Arch - Deck,1927,0,Highway-pedestrian,4.6,DOT,NO,2009-10-22 00:00:00,Open,Short Span Bridge,{48B32272-FD4C-4501-8811-633D09EBE5B4},,,,
-71.077757587229243,42.19309561305424,48,R01012,,597,06,Randolph,42.19308697,-71.077757,ST 24,HWY   MDC ACCSS RD,Other,Other,2011,0,Highway-pedestrian,76.5,DOT,NO,2015-10-23 00:00:00,Open,Bridge (NBI),{E1A9CD87-7DB5-4D01-8343-7D694B980656},,,,
-72.676423142971331,42.726855661336941,49,C18041,,5E4,01,Colrain,42.72684697,-72.676422,WATER BORDEN BROOK,HWY   GREEN RIV RD,Concrete,Culvert (includes frame culverts),1985,0,Highway,3.7,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{3CC240F5-0696-49B5-8EC3-2D5EC11277FF},,,,
-72.675834476381098,42.724453132417125,50,C18042,,5E5,01,Colrain,42.72444444,-72.67583333,WATER BROOK,HWY   GREEN RIV RD,Concrete,Culvert (includes frame culverts),1985,0,Highway,4.3,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{768922F7-B756-45A4-A3AF-245F31331F61},,,,
-72.673745108994751,42.642290672679586,51,C18044,,5E6,01,Colrain,42.642282,-72.67374397,WATER BROOK,HWY   GREENFLD RD,-,-,1850,1900,,0,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{73B61099-DF36-414A-AFA1-13A443637C49},,,,
-72.715369123311007,42.643501643782521,52,C18045,,5E7,01,Colrain,42.64349297,-72.71536797,WATER FOX BROOK,HWY   CALL RD,Steel,Stringer/Multi-beam or Girder,1970,0,Highway,5,MUN,YES,2016-05-03 00:00:00,Closed,Short Span Bridge,{F74A6105-2396-437A-908C-EFBD7C597FFA},,,,
-72.715278927838995,42.643342004139576,53,C18046,,5E8,01,Colrain,42.64333333,-72.71527778,WATER MCLELLAN BROOK,HWY   CALL RD,Steel,Culvert (includes frame culverts),1970,0,Highway,1.2,MUN,NO,2016-05-03 00:00:00,Open,Culvert,{26C766C7-686A-4740-8850-12B4F8980FF7},,,,
-72.735662129413754,42.637262641439641,54,C18043,,5E9,01,Colrain,42.63725397,-72.73566097,WATER MEADOW BROOK,HWY   STACY RD,Steel,Stringer/Multi-beam or Girder,1940,0,Highway,6.7,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{932255BE-1064-4017-8AA7-0D1ADF524A0A},,,,
-72.645025108840258,42.33206461495525,55,N19011,,0MJ,02,Northampton,42.332056,-72.645024,OTHER NORTHAMPTON BK WAY,HWY   JACKSON ST,Prestressed concrete,Slab,1890,1977,Highway-pedestrian,7.8,MUN,NO,2016-06-29 00:00:00,Open,Bridge (NBI),{D641418F-F28F-474D-8125-8C506ACA62C1},,,,
-71.966667536163754,42.031675248012661,56,D12032,,718,03,Dudley,42.03166667,-71.96666667,WATER BROOK,ST131 @ STA 170,Concrete,-,1940,0,Highway,2.1,DOT,UNKNOWN,NO CURRENT INSPECTION,Open,Culvert,{AA395000-CAEB-402E-B08B-3AF924279665},,,,
-71.945000861065012,42.026675247987527,57,D12033,,719,03,Dudley,42.02666667,-71.945,WATER BROOK,ST197 @ STATE LINE,Masonry,Culvert (includes frame culverts),1930,0,Highway,3,DOT,UNKNOWN,NO CURRENT INSPECTION,Open,Culvert,{118E7D5D-7734-4D01-98BA-FA9E5A2F7623},,,,
-71.890000843732665,42.040008585326802,58,D12038,,71A,03,Dudley,42.04,-71.89,WATER POTASH BROOK,ST 12 SCHOFIELD AV,Concrete,Slab,1950,0,,2.1,DOT,UNKNOWN,NO CURRENT INSPECTION,Open,Culvert,{FE07D4F9-6BFC-4F9C-9C42-8C90F12141E8},,,,
-71.891667510409832,42.031675250623763,59,D12039,,71B,03,Dudley,42.03166667,-71.89166667,WATER PACKARD PD OUTLT,ST 12 SCHOFIELD AV,Concrete,Culvert (includes frame culverts),1940,0,,2.1,DOT,UNKNOWN,NO CURRENT INSPECTION,Open,Culvert,{A28B86D4-DEBE-45A4-966D-A1C572F5B417},,,,
-71.926667522221265,42.043341918267608,60,D12040,,71C,03,Dudley,42.04333333,-71.92666667,WATER TUFTS BR BROOK,HWY,Steel,Culvert (includes frame culverts),1960,0,Highway,2.1,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Culvert,{87357DE7-C61F-47D4-9E4B-D2C00F4F4979},,,,
-71.697330626609741,42.227425626856906,61,G08027,,4LG,03,Grafton,42.227417,-71.69732983,COMB  SNOW RD & GURR,I  90 WB,Steel,Stringer/Multi-beam or Girder,1957,1986,Highway,49.1,DOT,NO,2017-03-29 00:00:00,Open,Bridge (NBI),{815E4AA1-54E0-4962-8C2A-370F7D1B6F7C},,,,
-71.703820628253496,42.225760460253099,62,G08026,,4LH,03,Grafton,42.22575183,-71.70381983,WATER QUINSIGAMOND RIVER,I  90,Concrete continuous,Culvert (includes frame culverts),1957,0,Highway,11.9,DOT,NO,2015-07-17 00:00:00,Open,Bridge (NBI),{C56C7D0E-CEEA-49EE-AB19-73DAF25F60EF},,,,
-71.722615799082575,42.223101459284699,63,G08029,,4LJ,03,Grafton,42.22309283,-71.722615,I  90,HWY   BRIGHAM HILL,Steel continuous,Stringer/Multi-beam or Girder,1957,1994,Highway,58.3,DOT,NO,2016-09-26 00:00:00,Open,Bridge (NBI),{B22F539E-4E91-41E2-9887-32FBCC166DF3},,,,
-71.729562802696719,42.222843625426897,64,G08028,,4LK,03,Grafton,42.222835,-71.729562,HWY   DEERNOLM ST,I  90 EB,Steel,Stringer/Multi-beam or Girder,1957,1988,Highway,20.1,DOT,NO,2016-01-15 00:00:00,Open,Bridge (NBI),{0FE70319-294D-4B94-9525-D6BB527F48F9},,,,
-71.729364802092618,42.223053597760611,65,G08028,,4LL,03,Grafton,42.22304497,-71.729364,HWY   DEERNOLM ST,I  90 WB,Steel,Stringer/Multi-beam or Girder,1957,1988,Highway,20.1,DOT,NO,2016-01-15 00:00:00,Open,Bridge (NBI),{6174962E-6B8C-4E8D-B3ED-EEFCE794E8C5},,,,
-71.751667474571931,42.191675284921729,66,M22062,,76L,03,Millbury,42.19166667,-71.75166667,WATER STREAM,ST122 A/,Steel,Culvert (includes frame culverts),1850,0,Highway,2.1,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Culvert,{B663CF18-7179-4C39-BC8A-85D56CCCC659},,,,
-70.872152522176776,42.234616655626716,67,H15010,,76P,05,Hingham,42.234608,-70.872152,WATER WEIR RIVER,HWY   LEAVITT ST,Concrete,Culvert (includes frame culverts),2005,0,Highway-pedestrian,6.9,MUN,NO,2005-08-15 00:00:00,Open,Short Span Bridge,{A633E537-9FA0-449A-8E96-7E41821CA9A3},,,,
-70.726175471675177,42.192903096743464,68,S07016,,76Q,05,Scituate,42.19289444,-70.726175,WATER SATUIT BROOK,HWY   FRONT ST,Concrete,Culvert (includes frame culverts),1986,0,Highway-pedestrian,7.8,MUN,NO,2015-06-05 00:00:00,Open,Bridge (NBI),{A655AA84-0559-4BF6-B639-03B561FCC242},,,,
-72.949556773599795,42.48645307899713,69,C21029,,76R,01,Cummington,42.48644444,-72.94955556,WATER BROOK,HWY   W CUMMGTN RD,Steel,Culvert (includes frame culverts),1940,0,Highway,3.7,MUN,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{6B5245A4-9001-4BD1-8BF6-9C5A0E95A8C3},,,,
-71.256970627385783,42.342551635523307,70,N12073,,4QM,06,Newton,42.34254297,-71.25696997,HWY   CHARLES ST,I  90,Concrete,Frame (except frame culverts),1964,0,Highway,12.5,DOT,NO,2016-02-03 00:00:00,Open,Bridge (NBI),{B42B79A8-3B75-4B64-9C41-A00DE59A59FD},,,,
-71.254642654195791,42.34325766395942,71,N12067,MTA Structure11,4QN,06,Newton,42.343249,-71.254642,RR    CSX/MBTA,I  90,Steel,Stringer/Multi-beam or Girder,1965,0,Highway,35.4,DOT,NO,2017-03-01 00:00:00,Open,Bridge (NBI),{99AF3016-349A-4B5F-BCE6-81984CDC0798},,,,
-71.252046653760132,42.344922663992428,72,N12031,Lasell Bridge,4QP,06,Newton,42.344914,-71.252046,COMB  I 90 & CSX/MBTA,HWY   WOODLAND RD,Steel,Stringer/Multi-beam or Girder,1964,1995,Highway-pedestrian,77.7,DOT,NO,2015-12-14 00:00:00,Open,Bridge (NBI),{B6647F67-0F89-4F56-A98D-C8F923E7730E},,,,
-71.246767651004689,42.346207637711281,73,N12030,Richard Allen Lively Bridge,4QQ,06,Newton,42.34619897,-71.246767,COMB  I 90 & CSX/MBTA,HWY   AUBURN ST,Steel,Stringer/Multi-beam or Girder,1964,1995,Highway-pedestrian,56.5,DOT,NO,2015-12-15 00:00:00,Open,Bridge (NBI),{2AABCA6D-6726-4B0D-9421-5446DCACBC1C},,,,
-71.242183621991231,42.346705636975841,74,N12029,,4QR,06,Newton,42.34669697,-71.24218297,COMB  I 90 & CSX/MBTA,ST 30 COMM AVE,Steel,Stringer/Multi-beam or Girder,1964,0,Highway-pedestrian,57,DOT,NO,2016-01-06 00:00:00,Open,Bridge (NBI),{FDC64D9C-C5B0-4736-8652-605E776FCFB1},,,,
-71.673733636986654,42.554521690227702,75,S13014,,AGQ,03,Shirley,42.554513,-71.67373283,WATER CATACUNEMAUG BROOK,HWY   CATACNEMG RD,Concrete,Culvert (includes frame culverts),2002,0,Highway,7,MUN,NO,2016-08-10 00:00:00,Open,Bridge (NBI),{267C13FB-877B-446B-A26C-922CB5967EEE},,,,
-71.724399828641282,42.678255684369176,76,T07005,Rossbach Bridge,AFL,03,Townsend,42.67824697,-71.724399,WATER SQUANNACOOK RIVER,HWY   OLD TRNPK RD,Prestressed concrete,Box Beam or Girders - Multiple,1999,0,Highway,22.5,MUN,NO,2015-08-12 00:00:00,Open,Bridge (NBI),{95C12C5F-1A60-4444-8676-6DFA1146B710},,,,
-71.389589687242548,42.140076454634169,77,M13001,,AAK,03,Medway,42.14006783,-71.389589,WATER CHARLES RIVER,HWY   WALKER ST,Prestressed concrete,Box Beam or Girders - Multiple,1995,0,Highway-pedestrian,24.2,MUN,NO,2016-10-05 00:00:00,Open,Bridge (NBI),{E1D3FB50-5C27-4D9A-AFF7-A7E042B33EC3},,,,
-71.361861676827914,42.13350362019014,78,M23007,,ADL,03,Millis,42.133495,-71.361861,WATER CHARLES RIVER,HWY   MYRTLE ST,Prestressed concrete,Box Beam or Girders - Single or Spread,1996,0,Highway,22.1,MUN,NO,2016-04-06 00:00:00,Open,Bridge (NBI),{73BE872D-5A59-45B2-9E50-40A767BC33F0},,,,
-71.072756562563001,42.269624627706506,79,M25026,,8UF,06,Milton,42.26961597,-71.07275597,WATER PINE TREE BROOK,HWY   ELLIOT ST,Masonry,Culvert (includes frame culverts),1850,1900,Highway-pedestrian,5.6,MUN,NO,2016-08-17 00:00:00,Open,Short Span Bridge,{4AB65101-7BAA-49E6-87CB-64B5D641DE35},,,,
